"","day","constant","nonLinear"
"213",213,18204.1216879293,44038.3604980756
"214",214,18289.9901864573,44199.7278063885
"215",215,18375.8586849853,44360.6951959266
"216",216,18461.7271835132,44521.2631628672
"217",217,18547.5956820412,44681.4322033872
"218",218,18633.4641805692,44841.2028136638
"219",219,18719.3326790972,45000.5754898743
"220",220,18805.2011776251,45159.5507281957
"221",221,18891.0696761531,45318.1290248052
"222",222,18976.9381746811,45476.31087588
"223",223,19062.806673209,45634.096777597
"224",224,19148.675171737,45791.4872261336
"225",225,19234.543670265,45948.4827176668
"226",226,19320.4121687929,46105.0837483737
"227",227,19406.2806673209,46261.2908144316
"228",228,19492.1491658489,46417.1044120176
"229",229,19578.0176643768,46572.5250373088
"230",230,19663.8861629048,46727.5531864822
"231",231,19749.7546614328,46882.1893557152
"232",232,19835.6231599607,47036.4340411847
"233",233,19921.4916584887,47190.2877390681
"234",234,20007.3601570167,47343.7509455423
"235",235,20093.2286555447,47496.8241567846
"236",236,20179.0971540726,47649.507868972
"237",237,20264.9656526006,47801.8025782818
"238",238,20350.8341511286,47953.708780891
"239",239,20436.7026496565,48105.2269729768
"240",240,20522.5711481845,48256.3576507163
"241",241,20608.4396467125,48407.1013102867
"242",242,20694.3081452404,48557.4584478651
"243",243,20780.1766437684,48707.4295596287
"244",244,20866.0451422964,48857.0151417546
"245",245,20951.9136408243,49006.2156904199
"246",246,21037.7821393523,49155.0317018018
"247",247,21123.6506378803,49303.4636720774
"248",248,21209.5191364082,49451.5120974238
"249",249,21295.3876349362,49599.1774740183
"250",250,21381.2561334642,49746.4602980379
"251",251,21467.1246319921,49893.3610656597
"252",252,21552.9931305201,50039.880273061
"253",253,21638.8616290481,50186.0184164188
"254",254,21724.7301275761,50331.7759919103
"255",255,21810.598626104,50477.1534957127
"256",256,21896.467124632,50622.151424003
"257",257,21982.33562316,50766.7702729584
"258",258,22068.2041216879,50911.0105387561
"259",259,22154.0726202159,51054.8727175732
"260",260,22239.9411187439,51198.3573055868
"261",261,22325.8096172718,51341.4647989741
"262",262,22411.6781157998,51484.1956939122
"263",263,22497.5466143278,51626.5504865783
"264",264,22583.4151128557,51768.5296731494
"265",265,22669.2836113837,51910.1337498028
"266",266,22755.1521099117,52051.3632127156
"267",267,22841.0206084396,52192.2185580648
"268",268,22926.8891069676,52332.7002820277
"269",269,23012.7576054956,52472.8088807814
"270",270,23098.6261040236,52612.5448505031
"271",271,23184.4946025515,52751.9086873698
"272",272,23270.3631010795,52890.9008875587
"273",273,23356.2315996075,53029.521947247
"274",274,23442.1000981354,53167.7723626118
"275",275,23527.9685966634,53305.6526298302
"276",276,23613.8370951914,53443.1632450793
"277",277,23699.7055937193,53580.3047045364
"278",278,23785.5740922473,53717.0775043786
"279",279,23871.4425907753,53853.4821407829
"280",280,23957.3110893032,53989.5191099266
"281",281,24043.1795878312,54125.1889079867
"282",282,24129.0480863592,54260.4920311404
"283",283,24214.9165848871,54395.4289755649
"284",284,24300.7850834151,54530.0002374373
"285",285,24386.6535819431,54664.2063129347
"286",286,24472.522080471,54798.0476982343
"287",287,24558.390578999,54931.5248895132
"288",288,24644.259077527,55064.6383829485
"289",289,24730.127576055,55197.3886747175
"290",290,24815.9960745829,55329.7762609971
"291",291,24901.8645731109,55461.8016379646
"292",292,24987.7330716389,55593.4653017972
"293",293,25073.6015701668,55724.7677486719
"294",294,25159.4700686948,55855.7094747659
"295",295,25245.3385672228,55986.2909762563
"296",296,25331.2070657507,56116.5127493203
"297",297,25417.0755642787,56246.375290135
"298",298,25502.9440628067,56375.8790948775
"299",299,25588.8125613346,56505.024659725
"300",300,25674.6810598626,56633.8124808547
"301",301,25760.5495583906,56762.2430544436
"302",302,25846.4180569185,56890.316876669
"303",303,25932.2865554465,57018.0344437079
"304",304,26018.1550539745,57145.3962517374
"305",305,26104.0235525025,57272.4027969348
"306",306,26189.8920510304,57399.0545754772
"307",307,26275.7605495584,57525.3520835417
"308",308,26361.6290480864,57651.2958173054
"309",309,26447.4975466143,57776.8862729456
"310",310,26533.3660451423,57902.1239466392
"311",311,26619.2345436703,58027.0093345635
"312",312,26705.1030421982,58151.5429328956
"313",313,26790.9715407262,58275.7252378127
"314",314,26876.8400392542,58399.5567454919
"315",315,26962.7085377821,58523.0379521103
"316",316,27048.5770363101,58646.169353845
"317",317,27134.4455348381,58768.9514468733
"318",318,27220.314033366,58891.3847273722
"319",319,27306.182531894,59013.4696915189
"320",320,27392.051030422,59135.2068354905
"321",321,27477.9195289499,59256.5966554642
"322",322,27563.7880274779,59377.6396476171
"323",323,27649.6565260059,59498.3363081264
"324",324,27735.5250245339,59618.6871331691
"325",325,27821.3935230618,59738.6926189225
"326",326,27907.2620215898,59858.3532615636
"327",327,27993.1305201178,59977.6695572696
"328",328,28078.9990186457,60096.6420022177
"329",329,28164.8675171737,60215.271092585
"330",330,28250.7360157017,60333.5573245486
"331",331,28336.6045142296,60451.5011942856
"332",332,28422.4730127576,60569.1031979733
"333",333,28508.3415112856,60686.3638317887
"334",334,28594.2100098135,60803.283591909
"335",335,28680.0785083415,60919.8629745113
"336",336,28765.9470068695,61036.1024757728
"337",337,28851.8155053975,61152.0025918706
"338",338,28937.6840039254,61267.5638189818
"339",339,29023.5525024534,61382.7866532837
"340",340,29109.4210009814,61497.6715909532
"341",341,29195.2894995093,61612.2191281676
"342",342,29281.1579980373,61726.4297611041
"343",343,29367.0264965653,61840.3039859396
"344",344,29452.8949950932,61953.8422988515
"345",345,29538.7634936212,62067.0451960168
"346",346,29624.6319921492,62179.9131736126
"347",347,29710.5004906771,62292.4467278161
"348",348,29796.3689892051,62404.6463548045
"349",349,29882.2374877331,62516.5125507549
"350",350,29968.105986261,62628.0458118444
"351",351,30053.974484789,62739.2466342502
"352",352,30139.842983317,62850.1155141493
"353",353,30225.7114818449,62960.6529477191
"354",354,30311.5799803729,63070.8594311365
"355",355,30397.4484789009,63180.7354605787
"356",356,30483.3169774289,63290.2815322229
"357",357,30569.1854759568,63399.4981422462
"358",358,30655.0539744848,63508.3857868257
"359",359,30740.9224730128,63616.9449621386
"360",360,30826.7909715407,63725.176164362
"361",361,30912.6594700687,63833.0798896731
"362",362,30998.5279685967,63940.656634249
"363",363,31084.3964671246,64047.9068942669
"364",364,31170.2649656526,64154.8311659038
"365",365,31256.1334641806,64261.429945337
"366",366,31342.0019627085,64367.7037287435
"367",367,31427.8704612365,64473.6530123005
"368",368,31513.7389597645,64579.2782921852
"369",369,31599.6074582924,64684.5800645746
"370",370,31685.4759568204,64789.558825646
"371",371,31771.3444553484,64894.2150715764
"372",372,31857.2129538763,64998.5492985431
"373",373,31943.0814524043,65102.562002723
"374",374,32028.9499509323,65206.2536802935
"375",375,32114.8184494603,65309.6248274316
"376",376,32200.6869479882,65412.6759403144
"377",377,32286.5554465162,65515.4075151192
"378",378,32372.4239450442,65617.820048023
"379",379,32458.2924435721,65719.9140352029
"380",380,32544.1609421001,65821.6899728362
"381",381,32630.0294406281,65923.1483571
"382",382,32715.897939156,66024.2896841713
"383",383,32801.766437684,66125.1144502274
"384",384,32887.634936212,66225.6231514454
"385",385,32973.5034347399,66325.8162840024
"386",386,33059.3719332679,66425.6943440756
"387",387,33145.2404317959,66525.257827842
"388",388,33231.1089303238,66624.5072314789
"389",389,33316.9774288518,66723.4430511634
"390",390,33402.8459273798,66822.0657830726
"391",391,33488.7144259078,66920.3759233836
"392",392,33574.5829244357,67018.3739682737
"393",393,33660.4514229637,67116.0604139199
"394",394,33746.3199214917,67213.4357564994
"395",395,33832.1884200196,67310.5004921893
"396",396,33918.0569185476,67407.2551171667
"397",397,34003.9254170756,67503.7001276089
"398",398,34089.7939156035,67599.8360196929
"399",399,34175.6624141315,67695.6632895959
"400",400,34261.5309126595,67791.182433495
"401",401,34347.3994111874,67886.3939475674
"402",402,34433.2679097154,67981.2983279901
"403",403,34519.1364082434,68075.8960709404
"404",404,34605.0049067713,68170.1876725954
"405",405,34690.8734052993,68264.1736291322
"406",406,34776.7419038273,68357.8544367279
"407",407,34862.6104023552,68451.2305915598
"408",408,34948.4789008832,68544.3025898049
"409",409,35034.3473994112,68637.0709276404
"410",410,35120.2158979392,68729.5361012434
"411",411,35206.0843964671,68821.698606791
"412",412,35291.9528949951,68913.5589404605
"413",413,35377.8213935231,69005.1175984288
"414",414,35463.689892051,69096.3750768733
"415",415,35549.558390579,69187.331871971
"416",416,35635.426889107,69277.988479899
"417",417,35721.2953876349,69368.3453968346
"418",418,35807.1638861629,69458.4031189548
"419",419,35893.0323846909,69548.1621424367
"420",420,35978.9008832188,69637.6229634576
"421",421,36064.7693817468,69726.7860781945
"422",422,36150.6378802748,69815.6519828246
"423",423,36236.5063788027,69904.2211735251
"424",424,36322.3748773307,69992.4941464731
"425",425,36408.2433758587,70080.4713978456
"426",426,36494.1118743866,70168.1534238199
"427",427,36579.9803729146,70255.5407205731
"428",428,36665.8488714426,70342.6337842824
"429",429,36751.7173699706,70429.4331111248
"430",430,36837.5858684985,70515.9391972776
"431",431,36923.4543670265,70602.1525389178
"432",432,37009.3228655545,70688.0736322226
"433",433,37095.1913640824,70773.7029733691
"434",434,37181.0598626104,70859.0410585345
"435",435,37266.9283611384,70944.0883838959
"436",436,37352.7968596663,71028.8454456305
"437",437,37438.6653581943,71113.3127399154
"438",438,37524.5338567223,71197.4907629277
"439",439,37610.4023552502,71281.3800108446
"440",440,37696.2708537782,71364.9809798432
"441",441,37782.1393523062,71448.2941661007
"442",442,37868.0078508341,71531.3200657941
"443",443,37953.8763493621,71614.0591751007
"444",444,38039.7448478901,71696.5119901976
"445",445,38125.6133464181,71778.6790072619
"446",446,38211.481844946,71860.5607224707
"447",447,38297.350343474,71942.1576320013
"448",448,38383.218842002,72023.4702320306
"449",449,38469.0873405299,72104.499018736
"450",450,38554.9558390579,72185.2444882945
"451",451,38640.8243375859,72265.7071368832
"452",452,38726.6928361138,72345.8874606793
"453",453,38812.5613346418,72425.7859558599
"454",454,38898.4298331698,72505.4031186022
"455",455,38984.2983316977,72584.7394450834
"456",456,39070.1668302257,72663.7954314804
"457",457,39156.0353287537,72742.5715739706
"458",458,39241.9038272816,72821.0683687311
"459",459,39327.7723258096,72899.2863119388
"460",460,39413.6408243376,72977.2258997711
"461",461,39499.5093228656,73054.8876284051
"462",462,39585.3778213935,73132.2719940179
"463",463,39671.2463199215,73209.3794927865
"464",464,39757.1148184495,73286.2106208883
"465",465,39842.9833169774,73362.7658745003
"466",466,39928.8518155054,73439.0457497996
"467",467,40014.7203140334,73515.0507429634
"468",468,40100.5888125613,73590.7813501689
"469",469,40186.4573110893,73666.2380675931
"470",470,40272.3258096173,73741.4213914132
"471",471,40358.1943081452,73816.3318178064
"472",472,40444.0628066732,73890.9698429498
"473",473,40529.9313052012,73965.3359630205
"474",474,40615.7998037291,74039.4306741957
"475",475,40701.6683022571,74113.2544726525
"476",476,40787.5368007851,74186.807854568
"477",477,40873.4052993131,74260.0913161195
"478",478,40959.273797841,74333.105353484
"479",479,41045.142296369,74405.8504628386
"480",480,41131.010794897,74478.3271403606
"481",481,41216.8792934249,74550.535882227
"482",482,41302.7477919529,74622.477184615
"483",483,41388.6162904809,74694.1515437017
"484",484,41474.4847890088,74765.5594556643
"485",485,41560.3532875368,74836.7014166799
"486",486,41646.2217860648,74907.5779229257
"487",487,41732.0902845927,74978.1894705788
"488",488,41817.9587831207,75048.5365558163
"489",489,41903.8272816487,75118.6196748153
"490",490,41989.6957801766,75188.4393237531
"491",491,42075.5642787046,75257.9959988068
"492",492,42161.4327772326,75327.2901961534
"493",493,42247.3012757605,75396.3224119701
"494",494,42333.1697742885,75465.0931424341
"495",495,42419.0382728165,75533.6028837226
"496",496,42504.9067713445,75601.8521320125
"497",497,42590.7752698724,75669.8413834812
"498",498,42676.6437684004,75737.5711343057
"499",499,42762.5122669284,75805.0418806632
"500",500,42848.3807654563,75872.2541187308
"501",501,42934.2492639843,75939.2083446856
"502",502,43020.1177625123,76005.9050547048
"503",503,43105.9862610402,76072.3447449656
"504",504,43191.8547595682,76138.527911645
"505",505,43277.7232580962,76204.4550509202
"506",506,43363.5917566241,76270.1266589684
"507",507,43449.4602551521,76335.5432319667
"508",508,43535.3287536801,76400.7052660921
"509",509,43621.197252208,76465.613257522
"510",510,43707.065750736,76530.2677024334
"511",511,43792.934249264,76594.6690970034
"512",512,43878.8027477919,76658.8179374092
"513",513,43964.6712463199,76722.714719828
"514",514,44050.5397448479,76786.3599404368
"515",515,44136.4082433759,76849.7540954128
"516",516,44222.2767419038,76912.8976809332
"517",517,44308.1452404318,76975.791193175
"518",518,44394.0137389598,77038.4351283155
"519",519,44479.8822374877,77100.8299825318
"520",520,44565.7507360157,77162.9762520009
"521",521,44651.6192345437,77224.8744329001
"522",522,44737.4877330716,77286.5250214065
"523",523,44823.3562315996,77347.9285136972
"524",524,44909.2247301276,77409.0854059494
"525",525,44995.0932286555,77469.9961943402
"526",526,45080.9617271835,77530.6613750468
"527",527,45166.8302257115,77591.0814442462
"528",528,45252.6987242394,77651.2568981157
"529",529,45338.5672227674,77711.1882328323
"530",530,45424.4357212954,77770.8759445733
"531",531,45510.3042198234,77830.3205295156
"532",532,45596.1727183513,77889.5224838366
"533",533,45682.0412168793,77948.4823037133
"534",534,45767.9097154073,78007.2004853229
"535",535,45853.7782139352,78065.6775248424
"536",536,45939.6467124632,78123.9139184492
"537",537,46025.5152109912,78181.9101623202
"538",538,46111.3837095191,78239.6667526326
"539",539,46197.2522080471,78297.1841855636
"540",540,46283.1207065751,78354.4629572903
"541",541,46368.989205103,78411.5035639898
"542",542,46454.857703631,78468.3065018394
"543",543,46540.726202159,78524.872267016
"544",544,46626.5947006869,78581.201355697
"545",545,46712.4631992149,78637.2942640593
"546",546,46798.3316977429,78693.1514882802
"547",547,46884.2001962708,78748.7735245367
"548",548,46970.0686947988,78804.1608690061
"549",549,47055.9371933268,78859.3140178655
"550",550,47141.8056918548,78914.2334672919
"551",551,47227.6741903827,78968.9197134626
"552",552,47313.5426889107,79023.3732525547
"553",553,47399.4111874387,79077.5945807453
"554",554,47485.2796859666,79131.5841942116
"555",555,47571.1481844946,79185.3425891307
"556",556,47657.0166830226,79238.8702616797
"557",557,47742.8851815505,79292.1677080358
"558",558,47828.7536800785,79345.2354243762
"559",559,47914.6221786065,79398.0739068779
"560",560,48000.4906771344,79450.6836517181
"561",561,48086.3591756624,79503.0651550739
"562",562,48172.2276741904,79555.2189131226
"563",563,48258.0961727184,79607.1454220411
"564",564,48343.9646712463,79658.8451780068
"565",565,48429.8331697743,79710.3186771966
"566",566,48515.7016683023,79761.5664157877
"567",567,48601.5701668302,79812.5888899574
"568",568,48687.4386653582,79863.3865958827
"569",569,48773.3071638862,79913.9600297407
"570",570,48859.1756624141,79964.3096877087
"571",571,48945.0441609421,80014.4360659637
"572",572,49030.9126594701,80064.3396606828
"573",573,49116.781157998,80114.0209680433
"574",574,49202.649656526,80163.4804842223
"575",575,49288.518155054,80212.7187053968
"576",576,49374.3866535819,80261.7361277441
"577",577,49460.2551521099,80310.5332474413
"578",578,49546.1236506379,80359.1105606655
"579",579,49631.9921491658,80407.4685635939
"580",580,49717.8606476938,80455.6077524036
"581",581,49803.7291462218,80503.5286232717
"582",582,49889.5976447498,80551.2316723754
"583",583,49975.4661432777,80598.7173958918
"584",584,50061.3346418057,80645.9862899981
